D1, D2, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF, DontPickA, DontPickB, DontPickC, DontPickD, DontPickE, DontPickF
  0.5,   0.0, 0.375, .6875, .0505, -.057, 0.069, -.058, 0.042, -.023,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, .8125,   0.5, .1194, -.033, .0412, -.037, .0583, -0.03,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, 0.625, 0.625, .1123, -0.03, .0544, -.046, .0092, -.056,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, .5625, 0.375, .1149, -.054, .0624, -.016, .0414, -.003,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, .6875, 0.625, 0.117, -.059, .0239, -.051, .0036, -.036,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, .5625, .8125, .0423, -.052, .0565, -0.03, .0364, -.016,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, .5625,   0.5, .0413, -.017, .0297, -.008, .0175, .0088,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, .6875, .4375, .1081, -.051, .0433, -.049, 0.019, -.037,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0,   0.5, .4375, .0333, -.058, .1048, -.076, .0174, .0092,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, 0.375, 0.625, .0261, -.042, .0086, -.047, .0048, .0198,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, .4375, .4375, .0449, -.008, .0074, -.028, -.002, -.034,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0,   0.5, .4375, .1106, -.045, .0545, -.039, .0172, .0408,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0,   0.5, .4375, .0992, -.074, .0576, -.016, .0395, -.029,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0,   0.5, .5625, .0717, -.065, .0751, .0302, .0101, .0142,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, .3125, .5625, .0168, -.035, .0035, -.013,  -0.0, -.017,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
  0.5,   0.0, .6875, 0.625, 0.107, -.054, .0482, -.043, -.001, -.024,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
