Alpha, EGS, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF, DontPickA, DontPickB, DontPickC, DontPickD, DontPickE, DontPickF
0.001,   0.1, .5625,  0.25, .0048, -.029, .0078, -0.03, -.001, -.016, -.027, .0096, -.029, -.008, -.012, -.011
0.001,   0.1, .4375,  0.75, 0.002, -.019, -.004, -.023, -.002, -.023, -.028, .0003, -.024, -.003, -.011, -.003
0.001,   0.1, .5625,   0.5, .0032, -.028, -.006, -.022, -.009, -.016, -.033, .0074, -.027, .0002, -.023, -.009
0.001,   0.1, 0.625,   0.5, .0012, -.027, -.002, -.021, -0.01, -.017, -.033, .0036, -.024, -.001, -.009, -.005
0.001,   0.1, .5625,   0.5, .0041, -.037, -.008, -.024, -.008, -.032, -.028, .0046, -.035, -.009, -.019, -.008
0.001,   0.1, 0.625,  0.75, .0033, -.032, -.001, -.036, -.012, -.019, -.032, -.005, -.024, .0068, -.026, .0001
0.001,   0.1,   0.5, .5625, -.001, -.026, -.005, -.031, -.006, -.018, -.038, .0044, -.029, .0013, -.015, -.003
0.001,   0.1,   0.5, .5625, 0.003, -.006, -.004, -.003, -.003, -.005,   0.0,  -0.0, -.002, -.003,   0.0, .0005
0.001,   0.1, 0.375,   0.5, .0048, -.031, -.004, -.017, -.018, -.019, -.025, .0065, -.018, .0005, -.019, -.003
0.001,   0.1, 0.625,   0.5, .0044, -0.02, -.003, -.007, -.017, -.014, -.021, .0037, -.017, -.007, -.013, .0017
0.001,   0.1,   0.5,   0.5, -.005, -.028, -.003, -.033, -.017, -.011, -.027, .0063, -.021, -.002, -.017, -.017
0.001,   0.1, .5625,   0.5, .0049, -.037, .0081, -0.02, .0021, -.022, -.021, .0033, -.025, -.002, -.018, .0063
0.001,   0.1, .5625,   0.5, .0062, -.028, -.003, -.027, -.015, -.006, -.027, .0014, -.022, -.001, -.032, -.007
0.001,   0.1, 0.375,  0.75, .0008, -.016, .0033, -.017, -.013, -.019, -.024, .0089, -.033, -.001, -0.02, -.006
0.001,   0.1, 0.125, .3125, .0053, -.023, 0.003, -.024, -.005, -.014, -.019, -.001, -.018, -.009, -.009, -.009
0.001,   0.1, .5625, .4375, .0065, -.007, .0002, -.005, -.013, -.008, -.017, 0.004, -.019, -.002, -.008, .0027
0.001,   0.1,  0.75,  0.75, .0083, -.019, .0011, -.032, -.005, -.018, -.022, .0025, -.021, .0029, -.022, -.004
0.001,   0.1, .5625, 0.625, .0091, -.022, -.002, -.026, -.011, -.023, -.041, .0057, -.018, -.007, -.021, -.012
0.001,   0.1,   0.5,   0.5, 0.009, -.029, .0001, -.026, -.006, -.015, -.017, .0027, -.014, .0001, -.029, -.008
0.001,   0.1, 0.625, 0.625, .0043, -.023, .0007, -.024, -.009, -.016, -.018, .0136, -.036, -.001, -.017, .0045
0.001,   0.1, 0.625,   0.5, .0098, -.017, -.009, -0.01, -.005, -.013, -.027, -.003, -.018, -.002, -.019, -.005
0.001,   0.1, .4375,   0.5, .0096, -.027, -.012, -.023, -.012, -0.02, -0.03, .0088, -.028, -.007, -.018, -.006
0.001,   0.1, 0.375, 0.625, .0082, -0.03, -.006, -.015, -.003, -.011, -.035, -.001, -0.02, -.002, -.011, -.006
0.001,   0.1, .6875, .5625, -.005, -.032, -.005, -.016, -.005, -.024, -.026, .0066, -.025, -0.01, -.025, .0006
0.001,   0.1, .6875, .5625, -.004, -.033, .0002, -.015, -.004, -.014, -0.02, .0076, -.023, -.004, -.015, -.005
0.001,   0.1, .4375, .4375, .0053, -.023, .0003, -.035, -.004, -.023, -0.03, .0114, -.034, .0011, -.037, -.004
0.001,   0.1,  0.75,   0.5, .0057, -.029, .0031, -.026, -.012, -.022, -.028, .0014, -.028, .0006, -.023, -.005
0.001,   0.1,  0.25, .5625, .0054, -.047, .0037, -.019, -.015, -.017, -.032, 0.006, -.041, -.009, -0.03, -.016
0.001,   0.1, 0.625, .5625, .0132, -.031, -.003, -.019, -.011, -.016, -.017, -.001, -0.02, -0.01, -.017, -0.01
0.001,   0.1, 0.375,   0.5, .0016, -.028, 0.007, -.026, -.001, -.011, -.024, .0047, -.014, -.003, -.029, .0012
0.001,   0.1,   0.5,  0.75, .0019, -.032, .0032, -.021, -.003, -.022, -.025, .0063, -.022,   0.0, -.015, -.013
0.001,   0.1, .6875, .4375, .0033, -.027, -.005, -.035, -.004, -.026, -0.03, .0117, -.024, -.003, -.026, -.005
0.001,   0.1, .4375,  0.25, .0097, -.027, .0058, -.019, -.004, -.018, -.025,  -0.0, -.021, -.006, -.023, -.007
0.001,   0.1, .3125, .6875, .0004, -.036, -.005, -.022, -.006, -0.01, -0.02, .0027, -0.02, .0037, -.024, -.007
0.001,   0.1, .6875, 0.625, -.003, -.032, -.003, -.023, -.013, -.029, -.038, .0073, -.024, -.012, -0.03, -.011
0.001,   0.1, .4375, 0.625, .0128, -.029, -.002, -.019, -.014, -.022, -.038, .0006, -.021, -.001, -.019, -.014
0.001,   0.1, .5625,   0.5, .0034, -.027, .0033, -.018, -0.01, -.021, -.027, .0065, -.027, .0033, -.004, -.002
0.001,   0.1, 0.625, 0.375, .0035, -.029, -.002, -.027, -.006, -.016, -.018, .0032, -0.03, -.004, -.022, -.018
