D1, D2, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF, DontPickA, DontPickB, DontPickC, DontPickD, DontPickE, DontPickF
  1.5,   1.0,  0.75, 0.625, .0798, -.116, -.015, -.081, -.037, -.167, -.121, .0133, -.084, -.012, -.058, -.028
  1.5,   1.0,  0.75,   0.5, -.027, -.114, -.041, -.137, -.088, -.135, -.069,  0.05, -.083, -0.03, -.031, -.021
  1.5,   1.0,  0.75, .4375, .0649, -.119, -.035, -.119, .0325, -.079, -.069, .0059, -.081, -.016, -.095, -.017
  1.5,   1.0, .8125, .5625, .0354, -.064, -.072, -.083, .0036, -.032, -.083, .0095, -.018, -.009, -.041, -.009
  1.5,   1.0,  0.75, .5625, .0701, -.126, .0485, -.154, -.007, -.112, -.118, 0.023, -.121, -.017, -.083, -.039
  1.5,   1.0,  0.75, .5625, .0902, -.199, -.007, -0.19, -.084, -.148, -.138, .0527, -.123, .0148, -.031, -.046
  1.5,   1.0, .8125, 0.625, .0167, -.155, -0.01, -.136, -.019, -.108, -.112, -0.02, -.082, -0.04, -.059, .0022
  1.5,   1.0, .8125, .5625, 0.078, -.128, .0713, -.145, -.114, -.086, -.096, .0411, -0.11, .0535, -.123, .0078
  1.5,   1.0, .6875, .8125, .0199, -0.12, .0111, -.069, -.101, -.104, -.069, .0086, -.107, -.003, -.082, -0.07
  1.5,   1.0, 0.625,   0.5, .0575, -.169, -.178, -.248, -.007, -.122, -.101, .0267, -.146, -.065, -.134, -0.05
  1.5,   1.0, .6875, 0.625, -.005, -.144, -.051, -0.17, -0.09, -.218, -.118, .0633, -.147, -.007, -.072, -.037
  1.5,   1.0, .5625, 0.375, 0.018, -.029, -.028, -.103, -.037, -.088, -.057, -0.02, -.093, .0042, -.011, -.024
  1.5,   1.0, .8125, 0.625, .0406, -.071, -.014, -0.07, -0.01, -.016, -.011, .0172, -0.03, .0137, -.008, -.019
  1.5,   1.0, .5625, .8125, .0144, -.161, .0092, -.134, -.037, -.176, -.032, .0479, -0.11, -.023, -.111, -.048
  1.5,   1.0, .6875,  0.75, .0654, -.206, -.038, -.064, -.069, -.131, -.127, .0934, -.117, -.007, -.096, -.056
  1.5,   1.0, .5625, 0.875, -.035, -.179, .0016, -.134, -.082, -.087, -.122, .0762, -.056, .0122, -.085, -.032
  1.5,   1.0, 0.375, .5625, .0444, -.194, -.013, -.127, -.127, -.148, -.136, .0214, -.116, -.007, -.129, -.046
  1.5,   1.0, 0.625,   0.5, .0744, -.087, .0329, -.065, .0273, -.086, -0.08, -.002, -.033, -.018, -0.04, -.005
  1.5,   1.0,  0.25, .6875, .0196, -.058, .0365, -.044, -.025, -.057, -0.05, .0344, -0.05, .0142, -.056, -.035
  1.5,   1.0, 0.875,   0.5, .0954, -.091, -.039, -.061, -.127, -.123, -.093, -.036, -.036, .0253, -.094, -.059
  1.5,   1.0,   0.5, .3125, -.011, -.095, -0.06, -.097, -0.04, -.132,  -0.1, -.012, -.071, .0116, -0.06, .0106
  1.5,   1.0,  0.75, 0.875, 0.071, -.147, -.036, -.117, -.033, -.128, -.172, -0.01, -.127, .0019, -.067, -.078
  1.5,   1.0, 0.625, .8125, .0485, -.213, -.014, -.177, -.067, -.118, -.127, .0732, -.204, .0153, -.132, -.106
  1.5,   1.0, .6875, 0.875, .0431, -.118, -.006, -.138, -.073, -.055, -.061, .0821, -.115, .0541, -.064, -.076
  1.5,   1.0,  0.75, 0.625, .0878, -.164, -.027, -.192, -.079, -.123, -.096, .1036, -.194, -.007, -.106, -.086
  1.5,   1.0,  0.75, .6875, .0285, -.152, .0114, -.095, -.074, -.043, -.095, .0304, -.084, -.018, -.052, 0.013
  1.5,   1.0,  0.75, .6875, .0275, -.137, -.015, -.112, -.034, -.045, -.129, -.001, -.085, .0035, -.054, -0.03
  1.5,   1.0, 0.875, .6875, .0519, -.227, -.045, -.159, -.064, -.127, -.153, -.009, -.066, .0144, -.011, -.024
  1.5,   1.0, .8125, .8125, .0994, -.188, -.024, -.122, -.051, -.143, -.116, .0591, -.151, 0.012, -.111, -.132
  1.5,   1.0, 0.875, 0.625, .0501, -.131, .0013, -.138, -.109, -0.18, -.114, .0271, -.097, -.028, -.058, -.056
  1.5,   1.0,  0.75, 0.625, .0621, -.156, -.034, -.181, -.134, -.186, -.136, .0697, -.112, -.021, -.171, -.064
  1.5,   1.0, .4375, 0.625, .0255, -.105, -.033, -.108, .0344, -.066, -.128, 0.023, -.054, -.053, -.043, .0029
  1.5,   1.0,  0.75, .5625, -.011, -.103, -.033, -.102, -.071, -.084, -0.08, .0042, -.058, -.011, -0.03, -.037
  1.5,   1.0,  0.75,   0.5, .0133, -.204, -.064, -0.15, -.073, -.135, -.137, -.014, -.038, .0641, -.135, -.118
  1.5,   1.0, .6875, .6875, .0376, -.104, -.014, -.121, -.099, -.101, -.136, 0.018, -0.07, -.027, -.083, -.035
  1.5,   1.0,  0.75,   0.5, .0041, -.118, -.021, -.101, .0184, -.089, -.056, .0128, -.069, -0.04, -.041, -.029
  1.5,   1.0,  0.75, 0.625, .0441, -0.08, -.036, -.097, -0.07, -.031, -.094, .0039, -0.08, 0.045, -.035, .0001
  1.5,   1.0,  0.75, .5625, .0757, -0.16, .0188, -.188, -.113, -.104, -.142, .0268, -.128, .0135, -.101, -.005
  1.5,   1.0, .9375, .4375, .0831, -.131, .0564, -.205, -.163, -.151, -.162, .0723, -.152, .0218, -.089, -.081
  1.5,   1.0, .6875, 0.625, 0.034, -.083, -.012, -.103, -.051, -.084, -.068, -.002, -.083, -0.03, -.095, -.061
  1.5,   1.0,  0.75, 0.875, -.035, -.186, .0445, -.078, -.054, -.169, -.162, .0105, -.122, .0083, -.092, -.048
  1.5,   1.0, 0.625, 0.625, .0171, -.152, -.006, -.119, 0.002, -.101, -.047, .0084, -.031, -.007, -.014, -.001
  1.5,   1.0, 0.625,  0.75, .0397, -0.11, -.027, -.141, -.005, -.088, -.105, .0256, -.146, -.026, -.041, -.058
  1.5,   1.0, .5625, 0.625, .0095, -.123, -.018, -.196, -.014, -.164, -.068, .0344, -.164, -.014, -.093, .0323
  1.5,   1.0, .8125, 0.625, .1422, -.095, -.024, -.188, -.137, -.113, -.062, .0323, -0.14, .0382, -.218, -.092
  1.5,   1.0, 0.875, .6875, .1585, -0.13, -.043, -0.27, -.108, -.227, -.145, .0124, -.167, -.053, -.063, -.114
  1.5,   1.0, 0.875, 0.875, .0668, -.118, -.031, -.153, -.038, -.045, -.123,  0.05, -0.07, -.003, -.105, .0216
  1.5,   1.0, .6875, .4375, .0397, -.157, -.009, -.093, -.006, -.154, -.122, .0117, -.081, .0575, -.082, -.052
  1.5,   1.0, .5625, .9375, .0335, -.147, .0739, -.143, -.045, -.111, -.103, .0537, -0.16, -.053, -0.15, -.052
  1.5,   1.0, .5625, 0.625, -.016, -.051, -.034,   0.0, 0.002, -.051, -.019, .0074, -.041, -.023, -.025, -.013
  1.5,   1.0, 0.625, 0.625, 0.053, -0.06, -0.02, -.101, -.039, -.092, -.069, .0466, -.059, .0038, -.014, -.002
  1.5,   1.0, 0.625, .9375, .0415, -0.14, .0014, -.146, -.077, -.142, -.183, -.024, -.126, -.056, -.174, -.108
  1.5,   1.0,  0.75, .4375, .0899, -.085, -.075, -.083, -.075, -.101, -.117,  -0.0, -.065, -.045, -.087, -.045
  1.5,   1.0, .6875,  0.75, .0784, -.173, -.007, -.164, -.067, -.155, -.081, .0141, -.097, -.038, -.071, -.066
  1.5,   1.0,  0.75, 0.375,  0.06, -.168, -.036, -.158, -.049, -.072, -.075, .0285, -0.08, .0383, -.026, -0.06
  1.5,   1.0, .8125, .6875, .1333, -.158, -.045, -.191, -.059, -0.15, -.141, 0.027, -0.12, -.075, -.089, -.063
  1.5,   1.0,   0.5,  0.75, -.004, -.191, .0481, -.061, -.024, -.055, -.107, .0677, -.057, .0392, -.091, -.017
  1.5,   1.0, .5625, .6875, .1005, -.104, -.023, -.202, -.096, -0.05, -.131, .0986, -.061, -.072, -0.11, -.035
  1.5,   1.0, .5625, 0.625, .0371, -.129, -.047, -.111, -.079, -.078, -.103, .0399, -.066, .0422, -.082, -.099
  1.5,   1.0, 0.625,   0.5, .0164, -.093, -.019, -.124, -.086, -.113, -.094, .0024, -.072, -.001, -0.02, -.028
  1.5,   1.0, .5625,   0.5, .0278, -0.07, .0069, -0.01, -.027, -.011, -.024, .0087, -.025, -.017, .0166, -.021
  1.5,   1.0, .8125, .8125, .0426, -.199, .0042, -.156, -.121, -.167, -.189, .0548, -.155, -.014, -.173, -.071
  1.5,   1.0, .6875, 0.625, -.038, -0.13, .0555, -.163, -.011, -.074, -.102, .0319, -0.07, -.013, -.053, -.018
  1.5,   1.0,  0.75, .5625, .0502, -.159, -.035, -.156, -.091, -.158, -.131, .0159, -.095, -.029, -.073, -.041
  1.5,   1.0, .5625, 0.625, .0109, -.141, -.034, -.068, -.103, -.064, -.138, -0.04, -.111, 0.006, -.093, -.065
  1.5,   1.0, .8125, .8125, .1157, -0.12, .0259, -.138, -.047, -.089, -.073, .0756, -.089, -.062, -.026, -.026
  1.5,   1.0,  0.75,  0.75, .0699, -.063, .0008, -.121, .0026, -.052, -.053, .0513, -.063, .0255, -.005, -.033
  1.5,   1.0, .8125, 0.625, -.031, -.087, -.003, -.062, 0.012, -.074, -.088, 0.004, -.048, -.028, -.059, 0.015
  1.5,   1.0,  0.75,   0.5, .0421, -.178, -0.08, -.145, -.082, -.138, -.098, .0113, -.108, -.002, -.073, -.048
  1.5,   1.0, .6875,  0.75, .0493, -.155, .0118, -.131, .0453, -.097, -.137, .0047, -.125, .0332, -.048, -.011
  1.5,   1.0, .5625, .4375, 0.014, -.047, -.044, -.017, .0261, -.064, -.034, -.003, -.008, .0054, -.024, -.027
  1.5,   1.0,   0.5, .5625, .0308, -.029, -.024, -.071, .0061, -.028, -.014, .0301, -0.03, .0188, -.023, .0237
  1.5,   1.0, 0.875, .6875, .0619, -.172, -.147, -.244, .0084, -.175, -0.16, -.013, -.175, -.098, -.151, -.064
  1.5,   1.0, .5625, .5625, -.002, -.166, .0353, -0.06, .0048, -0.12, -.071, -.002, -.063, -.009, -.098, -.058
  1.5,   1.0, .6875, .4375, 0.026, -.119, -0.08, -.074, -.058, -.071, -0.05, .0407, -.048, 0.006, -.041, -.034
  1.5,   1.0, .9375,  0.75, .0534, -.154, -.023, -.155, -0.05, -.143, -.175, .0332, -.139, -.095, -.089, .0129
  1.5,   1.0, .4375, .5625, -.038, -.129, .0115, -0.17, -.121, -0.12, -.104, .0044, -.094, -.003, -.062, -.003
  1.5,   1.0,  0.75,  0.75, .1055, -.181, -.098, -.167, -.114, -0.09, -.114, .0127, -.102, -.007, -.069, -.039
  1.5,   1.0, 0.625, .4375, .0117, -.167, -.053, -.095, -.039, -.061, -.096, .0413, -.081, -.046, -.067, -.007
  1.5,   1.0, .4375, .6875, .0265, -.071, .0041, -.045, -.092, -.067, -.056, .0313, -.065, -.004, -.075, -.015
  1.5,   1.0, .6875, 0.625, .0432, -.139, .0252, -.129, -.088, -.105, -0.06, -.018, -.137, -.025, -.155,  -0.1
  1.5,   1.0, .5625,  0.25, 0.019, -.011, -.022, -.041, .0301, -.034, -.046, -.003, -0.02, -.015, -.019, -.008
  1.5,   1.0, .6875, .8125, -0.05, -.109, .0125, -.228, -0.09, -.189, -.136, 0.092, -.175, -.075, -.103, -.083
  1.5,   1.0,   0.5, .6875, .0238, -.119, .0303, -.038, .0124, -.055, -.069, .0039, -.072, -.025, -.067, .0101
  1.5,   1.0, .4375,   0.5, .0219, -.027, .0508, -.053, -.035, -.027, -0.03, -.005, -0.02, -.007, -.019, -.014
