PosRwrd, NegRwrd, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF
  0.0,   0.0, 0.375,   0.5, -.435, -.436, -.451, -.425, -.426, -.448
  0.0,   0.0, .3125, .5625, -.428, -.442, -.418, -.404, -.438, -0.46
  0.0,   0.0, .4375, .5625, -.435, -.435, -.434, -.438, -.423, -.449
  0.0,   0.0,   0.5,   0.5, -.445, -.423, -0.43, -.441, -.417, -.423
  0.0,   0.0,  0.75,   0.5, -.439, -.414, -.433, -0.44, -.432, -.428
  0.0,   0.0,   0.5, .1875, -.449, -.406, -.439, -.417, -.441, -.439
  0.0,   0.0, .5625, .5625, -.437, -.442, -.449, -.424, -.435, -.435
  0.0,   0.0, .3125, .6875, -.447, -.433, -0.43, -.435, -.437, -.411
  0.0,   0.0, 0.375, .4375, -0.44, -0.43, -.441, -.427, -.444, -.429
  0.0,   0.0,   0.5,   0.5, -.418, -.435, -.422, -0.44, -.429, -.435
  0.0,   0.0, .3125, 0.375, -.438, -.433, -.417, -0.43, -.422, -.444
  0.0,   0.0, .5625, .5625, -.436, -.441, -.434, -.433, -0.45, -.409
  0.0,   0.0, 0.625, .5625, -.437, -.437, -.411, -.438, -0.44, -.429
  0.0,   0.0, .4375, .4375, -.419, -0.44, -.439, -.442, -.422, -.428
  0.0,   0.0,  0.25, .5625, -.433, -.435, -.434, -0.42, -.429, -.426
  0.0,   0.0, .4375, .5625, -0.43, -.431, -.432, -.433, -.433, -.422
  0.0,   0.0, .5625, .6875, -.435, -.421, -.435, -.421, -.441, -.422
  0.0,   0.0, 0.625,   0.5, -.432, -.415, -.438, -.418, -.428, -.422
  0.0,   0.0, .3125,   0.5, -.424, -.432, -.435, -.437, -.427, -.442
  0.0,   0.0, .5625,   0.5, -.427, -.433, -.434, -.422, -.432, -.445
  0.0,   0.0, .5625, .4375, -.438, -.439, -.438, -.426, -.426, -.443
  0.0,   0.0,   0.5, 0.625, -.426, -.437, -0.44, -.442, -.424, -.439
  0.0,   0.0, .5625, 0.375, -0.43, -0.43, -.423, -.447, -.413, -.428
  0.0,   0.0, 0.625, .4375, -.428, -.434, -.434, -.428, -0.45, -.427
  0.0,   0.0, .5625,   0.5, -.428, -.439, -.433, -.438, -.432, -.418
  0.0,   0.0, .4375, .4375, -.376, -.391, -.396, -.371, -.377, -.386
  0.0,   0.0, 0.375, .3125, -.419, -.445, -.428, -.433, -.441, -.427
  0.0,   0.0, .5625, 0.625, -.444, -0.43, -.444, -.424, -.437, -.432
  0.0,   0.0, .4375, .3125, -.432, -.419, -.417, -.437, -.436, -.428
  0.0,   0.0, .5625,   0.5, -.427, -.445, -.416, -.449, -.422, -.434
  0.0,   0.0, .4375,   0.5, -.331, -0.33, -.307, -.348, -.314, -.348
  0.0,   0.0, 0.625, .5625, -.435, -.447, -.432, -.425, -.432, -.441
  0.0,   0.0, 0.375,   0.5, -.438, -.448, -.429, -.429, -.439, -.437
  0.0,   0.0,   0.5, 0.375, -0.45, -.424, -.437, -.444, -.418, -.427
  0.0,   0.0,   0.5,  0.75, -.446, -.446, -.415, -.439, -.435, -.445
  0.0,   0.0,   0.5, .5625, -.431, -.444, -.404, -.423, -.436, -.438
  0.0,   0.0, .5625, 0.625, -.442, -.424, -.429, -.431, -.426, -.435
  0.0,   0.0,  0.25, .5625, -.439, -.431, -.419, -.431, -0.45, -0.43
  0.0,   0.0, .6875,   0.5, -.425, -.421, -.412, -.434, -.438, -.441
  0.0,   0.0,   0.5, .1875, -.445, -.435, -.441, -.422, -.433, -.427
  0.0,   0.0,  0.75, 0.625, -.422, -.425, -.435, -.425, -.444, -.436
  0.0,   0.0, .3125, .5625, -.436, -.423, -.429, -.447, -.431, -.421
  0.0,   0.0, .5625, .3125, -.433, -.438, -.445, -.426, -.447, -.419
  0.0,   0.0, .3125, .5625, -0.43, -.435, -.446, -.415, -.437, -0.42
  0.0,   0.0, .4375, .6875, -.444, -.436, -.446, -.448, -.435, -.439
  0.0,   0.0, .3125, .4375, -.424, -.451, -.432, -.432, -.439, -.432
  0.0,   0.0, 0.625,   0.5, -0.43, -.435, -.422, -.427, -.423, -.436
  0.0,   0.0, .5625, 0.625, -.424, -.428, -.435, -.433, -.415, -.438
  0.0,   0.0, 0.625, .5625, -.429, -.447, -.425, -.455, -.438, -.421
  0.0,   0.0, .4375,  0.25, -.422, -.422, -.434, -.425, -.423, -0.44
  0.0,   0.0, 0.625,   0.5, -.442, -.427, -0.42, -.451, -.435, -.405
  0.0,   0.0, 0.625, .4375, -.429, -.431, -.434, -.424, -.442, -.449
  0.0,   0.0,  0.25, 0.375, -0.45, -.435, -.442, -.432, -.439, -.432
  0.0,   0.0, .5625, .5625, -0.43, -.437, -.437, -.448, -.429, -.435
  0.0,   0.0, .6875, .5625, -.442, -.431, -0.43, -.433, -.433, -.426
  0.0,   0.0, 0.625, .5625, -.427, -.435, -.444, -.434, -.459, -.434
  0.0,   0.0, .4375, .5625, -.449, -.426, -.425, -0.43, -.418, -.445
  0.0,   0.0,  0.75, 0.625, -.437, -.431, -.451, -.425, -.427, -0.44
