Alpha, EGS, ChooseA, AvoidB, PickA, PickB, PickC, PickD, PickE, PickF
0.001,   0.1, .4375, .5625, 0.036, .0255, .0282, 0.034, .0306, .0308
0.001,   0.1, 0.625, .4375, .0395, .0203, 0.028, .0338, .0329, .0286
0.001,   0.1, .5625, .4375, .0078, .0023, .0063, .0043, .0085, .0019
0.001,   0.1,   0.5, .5625, .0313, .0298, .0266, .0351, .0302, .0309
0.001,   0.1,   0.5, .5625, .0268, .0351, .0226, .0389, .0302, .0303
0.001,   0.1, .4375, 0.375, 0.033, .0283, 0.033, .0283, .0306, .0308
0.001,   0.1,   0.5, 0.375, .0276, .0333, .0298, .0324, .0314, .0302
0.001,   0.1, .5625, .1875, .0309,  0.03, .0319, .0299, .0264, .0353
0.001,   0.1, .6875,   0.5, .0301, .0309, .0344, .0266, .0302, .0311
0.001,   0.1, .5625, .5625, .0283, .0316,  0.03, .0301, .0304, .0315
0.001,   0.1, 0.625, .6875, .0288, .0331, .0278, .0326, .0294, .0317
0.001,   0.1,   0.5, 0.625, .0289, .0326, .0306,  0.03, .0335, .0271
0.001,   0.1,   0.5, 0.375, .0284, .0329, .0354, .0247, .0278, .0338
0.001,   0.1, 0.625,   0.5, 0.028, .0234, .0314, .0187, .0243, .0272
0.001,   0.1, 0.375, 0.375, .0319, .0301, .0298, .0302, .0276, .0336
0.001,   0.1,   0.5,   0.5, .0287, 0.032, .0306, .0301, .0317, .0297
0.001,   0.1, 0.625, .6875, 0.033, .0278, .0306, .0305, .0311, .0301
0.001,   0.1, .4375, .1875, .0299, .0323, .0293, .0326, 0.026, .0346
0.001,   0.1, .5625, 0.375, .0319, .0301, .0277, .0333, .0277, .0329
0.001,   0.1, .4375,   0.5, .0284, .0329, .0327, .0289, .0281, .0328
0.001,   0.1,  0.25, 0.625, .0073, .0031, .0065, 0.004, .0058, .0047
0.001,   0.1, .4375, .4375, .0268, .0342, .0259, .0346, .0285, .0323
0.001,   0.1, .5625, 0.375, .0255, 0.035, .0328, .0277, .0305, .0317
0.001,   0.1, .4375, .5625, .0295, 0.032, 0.033, .0282, .0338, .0265
0.001,   0.1,   0.5,   0.5, .0287, .0324, .0335, 0.028, .0328, .0285
0.001,   0.1,   0.5,  0.75, .0313, .0298, .0305, .0299, .0268, 0.034
0.001,   0.1,   0.5, .6875, .0299, .0312, .0253, .0354, .0324, .0281
0.001,   0.1, .5625, .3125, .0267, .0336, 0.027, .0334, .0254, .0358
0.001,   0.1, .4375,   0.5, .0278, .0334, 0.026, .0346, .0298, .0314
0.001,   0.1, .5625, .6875, .0282, .0335,  0.03, 0.031, .0314, .0306
0.001,   0.1, 0.625, 0.625, .0288, .0331, .0362, .0245, .0308, .0309
0.001,   0.1, 0.375, 0.375, .0188, .0125, .0141, .0164, .0167, .0146
0.001,   0.1, .5625, 0.375, .0271, .0341, .0338, .0275, .0293, .0309
0.001,   0.1, .4375,  0.25, .0283, .0321, .0251, 0.036, .0327, 0.029
0.001,   0.1, .4375,   0.5, .0308, .0307, .0301, .0303, .0302, .0305
0.001,   0.1, 0.375, .4375, .0288, .0331, .0345, .0269, .0297, .0307
0.001,   0.1, .4375, .5625, .0333, .0285, .0395, .0213, .0297, 0.031
0.001,   0.1, 0.625, 0.625, 0.032, .0301, .0336, .0283, .0328, .0284
0.001,   0.1, .5625, .4375, .0293, .0312, .0329, .0285, .0334, .0277
